Scientific.name;Common.name;count;Plot.number;Year;Month;Day;Survey.site;exuvia.observer.number;Observer..order.number;note
Nom scientifique;Nom commun;Dénombrement;Numéro de parcelle;Année;Mois;Jour;Site de relevé;Exuvie – numéro d’observateur;Numéro dans l’ordre des observateurs;Remarques
Coenagrionidae sp.;Pond Damsel species;3;1;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;2;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;4;3;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;4;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;3;5;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;6;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;11;7;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;6;8;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;15;9;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;10;2008;Jun;23;Bells Pond;;NA;
Lestes sp.;Spreadwing species;1;10;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;6;11;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;4;12;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;13;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;8;14;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;3;15;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;16;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;17;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;19;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;21;2008;Jun;23;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;2;22;2008;Jun;23;Bells Pond;;NA;
Epitheca spinigera;Spiny Baskettail;1;23;2008;Jun;23;Bells Pond;;NA;rare in PEI (S3-sensitive)
Libellula quadrimaculata;Four-spotted Skimmer;2;24;2008;Jun;23;Bells Pond;;NA;
Libellula quadrimaculata;Four-spotted Skimmer;1;25;2008;Jun;23;Bells Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;26;2008;Jun;23;Bells Pond;;NA;
Epitheca spinigera;Spiny Baskettail;1;28;2008;Jun;23;Bells Pond;;NA;rare in PEI (S3-sensitive)
Libellula quadrimaculata;Four-spotted Skimmer;1;30;2008;Jun;23;Bells Pond;;NA;
Leucorrhinia intacta;Dot-tailed Whiteface;1;30;2008;Jun;23;Bells Pond;;NA;
Epitheca spinigera;Spiny Baskettail;1;31;2008;Jun;23;Bells Pond;;NA;rare in PEI (S3-sensitive)
Coenagrionidae sp.;Pond Damsel species;1;36;2008;Jun;23;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;1;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;3;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;1;6;2008;Aug;8;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;6;2008;Aug;8;Bells Pond;;NA;
Epitheca spinigera;Spiny Baskettail;1;7;2008;Aug;8;Bells Pond;;NA;rare in PEI (S3-sensitive)
Aeshna interrupta;Variable Darner;1;8;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;8;2008;Aug;8;Bells Pond;;NA;
Sympetrum costiferum;Saffron-winged Meadowhawk;3;9;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;9;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;6;11;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;1;12;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;12;2008;Aug;8;Bells Pond;;NA;
Lestes sp.;Spreadwing species;1;13;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;13;2008;Aug;8;Bells Pond;;NA;
Aeshna constricta;Lance-tipped Darner;1;15;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;15;2008;Aug;8;Bells Pond;;NA;
Sympetrum sp.;Meadowhawk species;1;15;2008;Aug;8;Bells Pond;;NA;
Anax junius;Common Green Darner;1;16;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;1;17;2008;Aug;8;Bells Pond;;NA;
Anax junius;Common Green Darner;1;19;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;9;19;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;20;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;2;21;2008;Aug;8;Bells Pond;;NA;
Aeshna canadensis;Canada Darner;1;21;2008;Aug;8;Bells Pond;;NA;
Lestes sp.;Spreadwing species;1;22;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;2;22;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;1;23;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;1;24;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;5;25;2008;Aug;8;Bells Pond;;NA;
Aeshna constricta;Lance-tipped Darner;1;25;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;25;2008;Aug;8;Bells Pond;;NA;
Sympetrum sp.;Meadowhawk species;3;25;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;1;26;2008;Aug;8;Bells Pond;;NA;
Aeshna canadensis;Canada Darner;1;26;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;26;2008;Aug;8;Bells Pond;;NA;
Coenagrionidae sp.;Pond Damsel species;1;27;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;2;29;2008;Aug;8;Bells Pond;;NA;
Aeshna interrupta;Variable Darner;2;30;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;3;30;2008;Aug;8;Bells Pond;;NA;
Epitheca spinigera;Spiny Baskettail;2;31;2008;Aug;8;Bells Pond;;NA;rare in PEI (S3-sensitive)
Anax junius;Common Green Darner;1;31;2008;Aug;8;Bells Pond;;NA;
Sympetrum obtrusum;White-faced Meadowhawk;4;31;2008;Aug;8;Bells Pond;;NA;
